COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,U.S. Senator,U.S. Senator,U.S. Senator,U.S. Senator,U.S. Senator,U.S. Senator,U.S. Representative in Congress Dist. 6,U.S. Representative in Congress Dist. 6,U.S. Representative in Congress Dist. 6,U.S. Representative in Congress Dist. 6,U.S. Representative in Congress Dist. 6,U.S. Representative in Congress Dist. 7,U.S. Representative in Congress Dist. 7,U.S. Representative in Congress Dist. 7,U.S. Representative in Congress Dist. 7,U.S. Representative in Congress Dist. 7,Governor,Governor,Governor,Governor,Governor,State Senator Dist. 19,State Senator Dist. 19,State Senator Dist. 19,State Senator Dist. 19,State Senator Dist. 21,State Senator Dist. 21,State Senator Dist. 21,State Senator Dist. 21,State Senator Dist. 21,State Representative Dist. 19,State Representative Dist. 19,State Representative Dist. 19,State Representative Dist. 19,State Representative Dist. 19,State Representative Dist. 19,State Representative Dist. 21,State Representative Dist. 21,State Representative Dist. 21,State Representative Dist. 21,State Representative Dist. 21,State Representative Dist. 21,State Representative Dist. 21,Secretary of State,Secretary of State,Secretary of State,Secretary of State,Secretary of State,Attorney General,Attorney General,Attorney General,Attorney General,Attorney General,State Treasurer,State Treasurer,State Treasurer,State Treasurer,State Treasurer,Superintendent of Public Instruction,Superintendent of Public Instruction,Superintendent of Public Instruction,Superintendent of Public Instruction,Superintendent of Public Instruction,State Mine Inspector,State Mine Inspector,State Mine Inspector,State Mine Inspector,Corporation Commissioner,Corporation Commissioner,Corporation Commissioner,Corporation Commissioner,Corporation Commissioner,Corporation Commissioner,Corporation Commissioner,Clerk of the Superior Court,Clerk of the Superior Court,Clerk of the Superior Court,Clerk of the Superior Court,Justice of the Peace Prec. 1,Justice of the Peace Prec. 1,Justice of the Peace Prec. 1,Justice of the Peace Prec. 1,Justice of the Peace Prec. 2,Justice of the Peace Prec. 2,Justice of the Peace Prec. 2,Justice of the Peace Prec. 2,Justice of the Peace Prec. 3,Justice of the Peace Prec. 3,Justice of the Peace Prec. 3,Justice of the Peace Prec. 3,Justice of the Peace Prec. 4,Justice of the Peace Prec. 4,Justice of the Peace Prec. 4,Justice of the Peace Prec. 4,Justice of the Peace Prec. 5,Justice of the Peace Prec. 5,Justice of the Peace Prec. 5,Justice of the Peace Prec. 5,Justice of the Peace Prec. 6,Justice of the Peace Prec. 6,Justice of the Peace Prec. 6,Justice of the Peace Prec. 6,Constable Prec. 1,Constable Prec. 1,Constable Prec. 1,Constable Prec. 2,Constable Prec. 2,Constable Prec. 2,Constable Prec. 3,Constable Prec. 3,Constable Prec. 3,Constable Prec. 3,Constable Prec. 4,Constable Prec. 4,Constable Prec. 4,Constable Prec. 4,Constable Prec. 5,Constable Prec. 5,Constable Prec. 5,Constable Prec. 5,Constable Prec. 6,Constable Prec. 6,Constable Prec. 6,Retain Supreme Court Justice BEENE,Retain Supreme Court Justice BEENE,Retain Supreme Court Justice BEENE,Retain Supreme Court Justice BEENE,Retain Supreme Court Justice MONTGOMERY,Retain Supreme Court Justice MONTGOMERY,Retain Supreme Court Justice MONTGOMERY,Retain Supreme Court Justice MONTGOMERY,Retain Supreme Court Justice TIMMER,Retain Supreme Court Justice TIMMER,Retain Supreme Court Justice TIMMER,Retain Supreme Court Justice TIMMER,Judge of the Superior Court Div. 1,Judge of the Superior Court Div. 1,Judge of the Superior Court Div. 1,Judge of the Superior Court Div. 1,Judge of the Superior Court Div. 1,Judge of the Superior Court Div. 2,Judge of the Superior Court Div. 2,Judge of the Superior Court Div. 2,Judge of the Superior Court Div. 2,Judge of the Superior Court Div. 3,Judge of the Superior Court Div. 3,Judge of the Superior Court Div. 3,Judge of the Superior Court Div. 3,Palominas School Board Member Dist. 49,Palominas School Board Member Dist. 49,Palominas School Board Member Dist. 49,Palominas School Board Member Dist. 49,Palominas School Board Member Dist. 49,Palominas School Board Member Dist. 49,Palominas School Board Member Dist. 49,Palominas School Board Member Dist. 49,St. David School Board Member Dist. 21,St. David School Board Member Dist. 21,St. David School Board Member Dist. 21,St. David School Board Member Dist. 21,St. David School Board Member Dist. 21,St. David School Board Member Dist. 21,Sierra Vista School Board Member Dist. 68 (2 year term),Sierra Vista School Board Member Dist. 68 (2 year term),Sierra Vista School Board Member Dist. 68 (2 year term),Sierra Vista School Board Member Dist. 68 (2 year term),Sierra Vista School Board Member Dist. 68,Sierra Vista School Board Member Dist. 68,Sierra Vista School Board Member Dist. 68,Sierra Vista School Board Member Dist. 68,Sierra Vista School Board Member Dist. 68,Sierra Vista School Board Member Dist. 68,Sierra Vista School Board Member Dist. 68,Sierra Vista School Board Member Dist. 68,Bowie Water District Board Member,Bowie Water District Board Member,Bowie Water District Board Member,Bowie Water District Board Member,Bowie Water District Board Member,Bowie Water District Board Member,Bowie Water District Board Member,Bowie Water District Board Member,Mayor City of Sierra Vista,Mayor City of Sierra Vista,Mayor City of Sierra Vista,Mayor City of Sierra Vista,Mayor City of Sierra Vista,Mayor City of Sierra Vista,Council Member City of Sierra Vista,Council Member City of Sierra Vista,Council Member City of Sierra Vista,Council Member City of Sierra Vista,Council Member City of Sierra Vista,Council Member City of Sierra Vista,Council Member City of Sierra Vista,Mayor Town of Huachuca City,Mayor Town of Huachuca City,Mayor Town of Huachuca City,Mayor Town of Huachuca City,Council Member Town of Huachuca City,Council Member Town of Huachuca City,Council Member Town of Huachuca City,Council Member Town of Huachuca City,Council Member Town of Huachuca City,Council Member Town of Huachuca City,PROPOSITION 128,PROPOSITION 128,PROPOSITION 128,PROPOSITION 128,PROPOSITION 129,PROPOSITION 129,PROPOSITION 129,PROPOSITION 129,PROPOSITION 130,PROPOSITION 130,PROPOSITION 130,PROPOSITION 130,PROPOSITION 131,PROPOSITION 131,PROPOSITION 131,PROPOSITION 131,PROPOSITION 132,PROPOSITION 132,PROPOSITION 132,PROPOSITION 132,PROPOSITION 209,PROPOSITION 209,PROPOSITION 209,PROPOSITION 209,PROPOSITION 211,PROPOSITION 211,PROPOSITION 211,PROPOSITION 211,PROPOSITION 308,PROPOSITION 308,PROPOSITION 308,PROPOSITION 308,PROPOSITION 309,PROPOSITION 309,PROPOSITION 309,PROPOSITION 309,PROPOSITION 310,PROPOSITION 310,PROPOSITION 310,PROPOSITION 310,PROPOSITION 420 (AMA Willcox Basin),PROPOSITION 420 (AMA Willcox Basin),PROPOSITION 420 (AMA Willcox Basin),PROPOSITION 420 (AMA Willcox Basin),PROPOSITION 421 (City of Bisbee),PROPOSITION 421 (City of Bisbee),PROPOSITION 421 (City of Bisbee),PROPOSITION 421 (City of Bisbee),PROPOSITION 422 (AMA Douglas Basin),PROPOSITION 422 (AMA Douglas Basin),PROPOSITION 422 (AMA Douglas Basin),PROPOSITION 422 (AMA Douglas Basin),Benson School Dist. 09 Question (Override),Benson School Dist. 09 Question (Override),Benson School Dist. 09 Question (Override),Benson School Dist. 09 Question (Override),Bisbee School School Dist. 02 Question (Override),Bisbee School School Dist. 02 Question (Override),Bisbee School School Dist. 02 Question (Override),Bisbee School School Dist. 02 Question (Override),Willcox School Dist. 13 Question (Bond),Willcox School Dist. 13 Question (Bond),Willcox School Dist. 13 Question (Bond),Willcox School Dist. 13 Question (Bond)
,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,"REP Masters, Blake","DEM Kelly, Mark","LBT Victor, Marc J.",Write-in,OVER VOTES,UNDER VOTES,"REP Ciscomani, Juan","DEM Engel, Kirsten",Write-in,OVER VOTES,UNDER VOTES,"REP Pozzolo, Luis","DEM Grijalva, Raul",Write-in,OVER VOTES,UNDER VOTES,"REP Lake, Kari","DEM Hobbs, Katie",Write-in,OVER VOTES,UNDER VOTES,"REP Gowan, David",Write-in,OVER VOTES,UNDER VOTES,"REP Cleveland, Jim","DEM Gabaldon, Rosanna",Write-in,OVER VOTES,UNDER VOTES,"REP Diaz, Lupe","REP Griffin, Gail","DEM Clark, Sanda",Write-in,OVER VOTES,UNDER VOTES,"REP Kennedy, Damien","REP McEwen, Deborah","DEM Hernandez, Consuelo","DEM Stahl Hamilton, Stephanie",Write-in,OVER VOTES,UNDER VOTES,"REP Finchem, Mark","DEM Fontes, Adrian",Write-in,OVER VOTES,UNDER VOTES,"REP Hamadeh, Abraham ""Abe""","DEM Mayes, Kris",Write-in,OVER VOTES,UNDER VOTES,"REP Yee, Kimberly","DEM Quezada, Martin",Write-in,OVER VOTES,UNDER VOTES,"REP Horne, Tom","DEM Hoffman, Kathy",Write-in,OVER VOTES,UNDER VOTES,"REP Marsh, Paul",Write-in,OVER VOTES,UNDER VOTES,"REP Myers, Nicholas ""Nick""","REP Thompson, Kevin","DEM Kennedy, Sandra","DEM Kuby, Lauren",Write-in,OVER VOTES,UNDER VOTES,"REP Hunley, Amy",Write-in,OVER VOTES,UNDER VOTES,"DEM Poppe, Janus",Write-in,OVER VOTES,UNDER VOTES,"DEM Vildosola, Alma",Write-in,OVER VOTES,UNDER VOTES,"REP Staggs, Bruce",Write-in,OVER VOTES,UNDER VOTES,"REP Ward, Trevor",Write-in,OVER VOTES,UNDER VOTES,"REP Curfman, Kenneth",Write-in,OVER VOTES,UNDER VOTES,"DEM Adame, Ruben",Write-in,OVER VOTES,UNDER VOTES,Write-in,OVER VOTES,UNDER VOTES,Write-in,OVER VOTES,UNDER VOTES,"REP Drummond, Jon",Write-in,OVER VOTES,UNDER VOTES,"REP Beyer, Kevin",Write-in,OVER VOTES,UNDER VOTES,"REP Wirthlin, Melissa",Write-in,OVER VOTES,UNDER VOTES,Write-in,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,"Haight, Raymond","Larson, Joel",Write-in,OVER VOTES,UNDER VOTES,"Kelliher, Jr. John",Write-in,OVER VOTES,UNDER VOTES,"Thorn, David",Write-in,OVER VOTES,UNDER VOTES,"Giuffrida, Jean","Herrera, Shanna","Mauzy, Michelle M","Pickett, Vicky","Puff, Diane (Dee)",Write-in,OVER VOTES,UNDER VOTES,"Daley, Nelson","Merrill, Andrea","Miller, Katie (Kathleen)",Write-in,OVER VOTES,UNDER VOTES,"Kiyabu, Kale",Write-in,OVER VOTES,UNDER VOTES,"Chadbourn, Lee","Lee, Donald","Rochford, Pat","Sheriff, Hollie","Walston, Jenny",Write-in,OVER VOTES,UNDER VOTES,"Allred, Jared","O'Neal, Dan","Portugal, Armando","Sager, Megan","Sager, Sarah",Write-in,OVER VOTES,UNDER VOTES,"Conroy, Steve","Gray, Rachel","McCaa, Clea",Write-in,OVER VOTES,UNDER VOTES,"Benning, William","Rodriguez, Mark","Umphrey, Carolyn","Weston, Kevin",Write-in,OVER VOTES,UNDER VOTES,"Wallace, Johann",Write-in,OVER VOTES,UNDER VOTES,"Butterworth, Cynthia","Ferro, Jeffrey","Trate, Debra",Write-in,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES,YES,NO,OVER VOTES,UNDER VOTES
,1,01 BE BENSON,1678,284,0,240,34,6,1,0,3,254,26,0,0,4,0,0,0,0,0,250,32,0,0,2,263,4,0,17,0,0,0,0,0,244,247,32,2,0,43,0,0,0,0,0,0,0,242,38,0,0,4,247,34,0,0,3,255,26,0,0,3,252,29,0,0,3,267,3,0,14,249,250,26,24,0,0,19,269,1,0,14,0,0,0,0,0,0,0,0,256,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,1,0,13,0,0,0,0,0,0,0,0,0,0,0,202,54,0,28,199,56,0,29,194,57,0,33,164,69,1,0,50,236,1,0,47,235,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,125,0,12,188,84,0,12,164,104,0,16,162,108,0,14,193,79,0,12,175,98,0,11,148,121,0,15,61,212,0,11,211,60,0,13,118,154,0,12,0,0,0,0,0,0,0,0,0,0,0,0,134,136,0,14,0,0,0,0,0,0,0,0
,1,01 BE BENSON,1678,791,2,411,351,24,0,0,5,468,308,3,0,12,0,0,0,0,0,449,329,7,0,5,550,16,0,224,0,0,0,0,0,400,434,297,6,0,443,0,0,0,0,0,0,0,441,336,2,0,11,453,324,0,0,13,474,295,0,0,21,467,308,1,0,14,579,15,0,196,407,423,299,262,0,2,187,577,10,0,203,0,0,0,0,0,0,0,0,576,23,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,9,0,208,0,0,0,0,0,0,0,0,0,0,0,504,163,0,123,457,201,0,132,502,158,1,129,299,300,1,2,188,537,8,1,244,533,8,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,475,0,40,440,308,0,42,459,290,0,41,388,365,0,37,424,333,0,33,591,174,0,25,565,196,1,28,325,439,0,26,419,346,0,25,346,404,0,40,0,0,0,0,0,0,0,0,0,0,0,0,430,324,0,36,0,0,0,0,0,0,0,0
,1,01 BE BENSON,1678,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,2,02 BE J-SIX,2091,398,0,357,35,4,1,0,1,367,28,1,0,2,0,0,0,0,0,362,34,0,0,2,383,3,0,12,0,0,0,0,0,359,369,33,3,0,32,0,0,0,0,0,0,0,364,32,0,0,2,362,33,0,0,3,370,27,0,0,1,368,28,0,0,2,388,1,0,9,361,365,28,23,0,0,19,389,0,0,9,0,0,0,0,0,0,0,0,373,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,1,0,11,0,0,0,0,0,0,0,0,0,0,0,303,62,0,33,293,71,0,34,299,67,0,32,133,199,5,0,61,348,2,0,48,349,2,0,47,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,202,0,5,284,108,0,6,252,139,0,7,236,155,0,7,282,110,0,6,240,152,0,6,207,179,0,12,55,336,0,7,326,64,0,8,133,256,0,9,0,0,0,0,0,0,0,0,0,0,0,0,189,193,0,14,0,0,0,0,0,0,0,0
,2,02 BE J-SIX,2091,1047,0,588,423,30,0,0,6,700,334,2,0,11,0,0,0,0,0,646,388,0,0,13,768,22,0,257,0,0,0,0,0,560,638,350,6,0,540,0,0,0,0,0,0,0,624,399,0,0,24,649,372,0,0,26,704,309,1,0,33,659,361,2,0,25,789,21,0,237,587,622,334,309,0,0,242,778,16,0,253,0,0,0,0,0,0,0,0,751,39,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,16,1,257,0,0,0,0,0,0,0,0,0,0,0,727,141,0,179,668,196,0,183,714,154,0,179,308,495,8,1,235,737,18,1,291,743,18,0,286,0,0,0,0,0,0,0,0,1,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,674,0,45,588,423,0,36,616,398,0,33,529,479,0,39,579,423,2,43,773,246,0,28,774,237,1,35,381,635,1,30,588,429,1,29,484,531,1,31,0,0,0,0,0,0,0,0,0,0,0,0,560,449,0,34,0,0,0,0,0,0,0,0
,2,02 BE J-SIX,2091,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,1,0,0,5,0,0,0,2,2,0,0,1,4,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,3,0,0,3,2,0,0,3,2,0,0,3,2,0,0,4,1,0,0,3,2,0,0,1,4,0,0,5,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
,3,03 BE SAN PEDRO,1945,304,0,249,54,1,0,0,0,259,41,3,0,1,0,0,0,0,0,261,43,0,0,0,280,9,0,15,0,0,0,0,0,253,267,48,3,0,37,0,0,0,0,0,0,0,255,46,0,0,3,259,43,0,0,2,267,36,0,0,1,262,40,0,0,2,284,6,0,14,257,250,43,36,0,0,22,282,5,0,17,0,0,0,0,0,0,0,0,269,14,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,4,0,17,0,0,0,0,0,0,0,0,0,0,0,248,30,0,26,238,39,0,27,243,38,0,23,173,88,3,0,40,266,4,0,34,269,3,0,32,0,0,0,0,0,0,0,0,38,37,42,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,145,0,9,227,68,0,9,190,102,0,12,195,101,0,8,220,76,0,8,210,86,0,8,177,117,0,10,61,235,0,8,233,63,0,8,128,167,0,9,0,0,0,0,0,0,0,0,0,0,0,0,138,88,0,8,0,0,0,0,0,0,0,0
,3,03 BE SAN PEDRO,1945,963,0,491,434,29,2,0,7,554,391,6,0,12,0,0,0,0,0,520,421,11,0,11,662,26,0,275,0,0,0,0,0,494,514,392,2,0,524,0,0,0,0,0,0,0,508,429,2,1,23,514,411,4,1,33,574,363,1,1,24,549,390,1,0,23,697,16,0,250,511,500,383,329,2,0,201,698,16,0,249,0,0,0,0,0,0,0,0,685,40,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,14,0,268,0,0,0,0,0,0,0,0,0,0,0,635,172,0,156,577,229,1,156,628,173,0,162,381,346,5,0,231,661,13,0,289,657,16,0,290,0,0,0,0,0,0,0,0,117,121,170,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,602,0,48,554,366,0,43,550,364,0,49,447,471,2,43,547,386,0,30,753,179,0,31,694,227,0,42,401,536,0,26,501,438,0,24,496,428,0,39,0,0,0,0,0,0,0,0,0,0,0,0,318,246,0,16,0,0,0,0,0,0,0,0
